pH,TDS,Hardness,Turbidity,Nitrate,Chloride,Quality
6.99816047538945,451.75256479337736,193.9381260547483,6.72702994208898,45.75967026268742,227.13598412484893,Unsafe
9.302857225639665,1129.6118000188806,185.8383394895999,7.966813971913723,64.4345863439989,263.0460467187596,Unsafe
8.42797576724562,1758.5970881651758,548.4400192865702,2.50467898792499,60.81287438321272,434.54632694098115,Unsafe
7.894633936788146,1491.2272841781662,187.25040991722835,6.248740996069989,12.311992375501895,203.00197372695146,Unsafe
6.124074561769746,1632.4661809367544,199.57234937074705,5.717459831437487,11.939957579317912,441.3423581654771,Unsafe
6.123978081344811,1351.688396750363,467.66904432988,8.32830376788271,21.453949419593066,89.66049393951117,Unsafe
5.732334448672798,1415.3254725839197,297.356913347797,9.060870604812605,28.885978107282977,399.5592967438838,Unsafe
8.96470458309974,1713.4717379741066,477.1908063253497,0.12156771477386807,32.67644651267861,431.3964348746314,Unsafe
7.904460046972835,574.3692168324533,85.95138666041188,6.740199190587926,54.37577734666762,131.81794377680245,Unsafe
8.332290311184181,1029.9074309219668,318.16415652036136,0.5183579911972902,4.534434573266832,243.6559395674902,Moderate
5.58233797718321,520.2979394572442,68.48748010080544,5.488586650773559,2.773816338085311,124.47489859864503,Unsafe
9.379639408647977,1976.5692151936294,84.45926190044499,2.876327290436782,31.352845035512722,367.971858047398,Unsafe
8.829770563201688,1893.712745404565,548.5405993394261,3.067765995221412,55.77309537103844,290.9064956277455,Unsafe
6.349356442713105,174.9109416001612,126.58495411467734,3.5295850345235658,15.474827436518606,335.89550601874447,Moderate
6.2272998688284025,1440.592827779808,342.8313752513694,6.212924490496102,51.320358500500134,138.41913513029502,Unsafe
6.233618039413735,1857.971803089765,276.10258143038857,3.340499656687692,20.786251035223955,145.28563792358878,Unsafe
6.716968971838151,443.0931557419337,241.03882944236346,7.326990505902804,70.8868887050813,68.67379647945786,Unsafe
7.599025726528952,1179.095938049996,544.9083401279998,4.045273855738697,71.65519554132932,194.93039083807838,Unsafe
7.227780074568463,1839.4277654172795,62.002868226519226,0.6835320030995862,23.782976342506117,301.8850976001537,Unsafe
